#,id,aggregate_type,aggregate_id,event_type,payload,status,created_at,sent_at,retry_count,last_error
28,4265f0d4-bd4f-46d9-8762-313b4a2baa76,ORDER,c4f103b6-7ef6-48bc-8ac6-22cd3f6fd026,StockReservationRequestedWithSaga,569245,FAILED,2026-04-13 22:41:07.364829 +00:00,,10,java.net.ConnectException: Connection refused
29,085a0993-f147-41d4-a346-3d5c78773cd7,ORDER,652caeac-d048-4bfd-94bd-35aaebd31317,StockReservationRequestedWithSaga,569246,FAILED,2026-04-13 22:41:07.364864 +00:00,,10,java.net.ConnectException: Connection refused
30,3efedbbd-9683-4c4a-a3a2-042a838d7518,ORDER,f7f50fc2-ff65-4800-89ab-9cb68f556d08,StockReservationRequestedWithSaga,569247,FAILED,2026-04-13 22:41:07.364935 +00:00,,10,java.net.ConnectException: Connection refused
31,702f9614-d44d-4c9d-a919-7c4bea82bacf,ORDER,3ffe4ed8-0e4a-4b65-b2d1-8bfb46355d37,StockReservationRequestedWithSaga,569248,FAILED,2026-04-13 22:41:07.365018 +00:00,,10,java.net.ConnectException: Connection refused
32,257d17d0-e28f-489b-9875-1ef0f75634e6,ORDER,a2d2ea8e-9f23-4f60-8017-191cef739466,StockReservationRequestedWithSaga,569249,FAILED,2026-04-13 22:41:07.365064 +00:00,,10,java.net.ConnectException: Connection refused
33,cbd5ba91-7645-41fd-b8b4-78a2a786afb1,ORDER,682c7f12-abd8-4a0d-bd08-eb514ca46e8c,StockReservationRequestedWithSaga,569250,FAILED,2026-04-13 22:41:07.365170 +00:00,,10,java.net.ConnectException: Connection refused
34,37a4315a-0d38-4371-a490-c0565098a772,ORDER,a6ab17b2-67b4-4d40-9310-6e7048ea1a12,StockReservationRequestedWithSaga,569251,FAILED,2026-04-13 22:41:07.365208 +00:00,,10,java.net.ConnectException: Connection refused
35,ef525a60-7eb0-4739-a8db-63923dc94d74,ORDER,593d70cc-eb74-4002-9512-031ce6b4b8a3,StockReservationRequestedWithSaga,569252,FAILED,2026-04-13 22:41:07.365247 +00:00,,10,java.net.ConnectException: Connection refused
36,e113935e-56f4-4844-8ea3-3b1caeeef6f3,ORDER,17cac564-362b-4962-81f5-f093863e7cd9,StockReservationRequestedWithSaga,569253,FAILED,2026-04-13 22:41:07.368896 +00:00,,10,java.net.ConnectException: Connection refused
37,196cfb57-c660-4dd6-a533-6c25bdef146a,ORDER,360ec1f6-27aa-467e-8c1c-a39ff33d6401,StockReservationRequestedWithSaga,569267,FAILED,2026-04-13 22:41:07.398023 +00:00,,10,java.net.ConnectException: Connection refused
